                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.1528,                 3.4624,                 4.1845,                 0.0046,                0.67551,                0.01524,                0.00693,                 2.7987,                 3.4667,                 4.1177,                0.00056,                0.00056,                0.00056
                      2,                 3.1151,                 3.3476,                 4.0187,                 0.0044,                0.67913,                0.04252,                0.01254,                 2.9186,                 3.5875,                 4.4162,              0.0011174,              0.0011174,              0.0011174
                      3,                 3.0398,                 3.2468,                 3.7298,                0.08041,                0.18697,                0.04452,                0.01334,                 2.9215,                 3.3348,                 4.4938,              0.0016519,              0.0016519,              0.0016519
                      4,                 3.0509,                 3.2081,                 3.6059,                0.08419,                0.16767,                0.05076,                0.01371,                 2.8789,                 7.2224,                 3.9255,              0.0018812,              0.0018812,              0.0018812
                      5,                 2.8765,                 3.1619,                 3.4395,                 0.1264,                0.23764,                 0.0764,                0.02159,                 2.6388,                 3.7282,                 3.4029,              0.0018812,              0.0018812,              0.0018812
                      6,                 2.7088,                 3.0383,                 3.2659,                0.04957,                0.08565,                0.02112,                0.00561,                 2.6892,                 4.1981,                 3.7564,              0.0018416,              0.0018416,              0.0018416
                      7,                 2.6952,                 3.0279,                 3.1761,                0.08978,                0.16767,                0.04397,                 0.0129,                 2.5764,                 3.6046,                  3.299,               0.001802,               0.001802,               0.001802
                      8,                 2.5785,                 3.0041,                 3.0916,                0.06603,                 0.0772,                0.02626,                0.00708,                 2.6008,                 3.2894,                 3.4583,              0.0017624,              0.0017624,              0.0017624
                      9,                 2.4908,                  2.918,                 3.0015,                0.14937,                0.25814,                0.09017,                0.02585,                 2.3903,                 3.0672,                 3.0865,              0.0017228,              0.0017228,              0.0017228
                     10,                 2.4356,                 2.8191,                 2.9628,                0.17762,                0.23643,                0.11928,                0.03372,                 2.5041,                 3.1744,                 3.1886,              0.0016832,              0.0016832,              0.0016832
                     11,                 2.4082,                 2.7679,                 2.9105,                0.04881,                0.24246,                 0.0354,                0.01159,                 2.4429,                 3.4106,                  3.251,              0.0016436,              0.0016436,              0.0016436
                     12,                 2.3901,                 2.6667,                 2.8236,                0.16947,                0.36068,                0.11967,                0.03634,                 2.3595,                 2.9363,                 3.0208,               0.001604,               0.001604,               0.001604
